,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber
261,8719582a8ffffff,7,0.0,0.0,0.0,"[51.30350812181396, -2.46583228369636]",1
262,871958296ffffff,7,0.0,0.0,0.0,"[51.34667901696414, -2.662392307596851]",2
263,8719582a1ffffff,7,0.0,0.0,0.0,"[51.340406808071016, -2.4765974191008904]",2
264,871958752ffffff,7,470.5833333333333,0.0,0.0,"[51.44832383892635, -2.8267762265255034]",2
265,871958600ffffff,7,0.0,0.0,0.0,"[51.42186466377941, -2.936434881037741]",6
266,871958748ffffff,7,0.0,0.0,0.0,"[51.38357499507344, -2.6733072443668053]",1
267,871958665ffffff,7,0.0,0.0,0.0,"[51.34443392692132, -2.6952124704824048]",2
268,871958281ffffff,7,0.0,0.0,0.0,"[51.299108624750765, -2.5313446709166336]",1
269,8719582a2ffffff,7,0.0,0.0,0.0,"[51.35556160283178, -2.531169769858865]",3
270,871958623ffffff,7,0.0,0.0,0.0,"[51.443758895179975, -2.8926078748526662]",4
271,8719582a6ffffff,7,0.0,0.0,0.0,"[51.37510501305163, -2.520176858612737]",2
272,871958672ffffff,7,0.0,0.0,0.0,"[51.35266532995928, -2.8484938714243313]",3
273,87195875cffffff,7,1019.9050925925926,0.0,0.0,"[51.41596973505199, -2.7499761739813846]",1
274,87195870bffffff,7,0.0,0.0,0.0,"[51.48519757165162, -2.837829124624015]",2
275,871958771ffffff,7,17753.208333333332,0.0,0.0,"[51.47465210527421, -2.717109662882113]",1
276,871958381ffffff,7,0.0,0.0,0.0,"[51.435870098598464, -2.4543334964146157]",2
277,8719583b2ffffff,7,0.0,6.0,3.0,"[51.50523320999027, -2.541661778585095]",0
278,8719582b2ffffff,7,0.0,2.0,1.0,"[51.368475869924765, -2.6186111136084738]",0
279,87195860cffffff,7,0.0,0.0,0.0,"[51.38727291578533, -2.892430737379749]",5
280,8719586e8ffffff,7,0.0,0.0,0.0,"[51.271891152372795, -2.9249056309798327]",8
281,8719582a9ffffff,7,0.0,0.0,0.0,"[51.28614930315146, -2.4440865682355226]",2
282,8719580dcffffff,7,0.0,0.0,0.0,"[51.55280839663405, -2.673196712066023]",2
