,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber,AverageMotorVehiclesPerHex,IniCostHardwareCost,IniCostInstallationCost,IniGridReinforcementCost,DailyDemandPerStation,DailyElectricityCost,DailyEstimatedRevenue,MonthlyEstimatedRevenue,MonthlyElectricityCost,MonthlyMaintenanceCost
96,871958762ffffff,7,339.0858134920635,0.0,0.0,"[51.476884312509924, -2.6842108871456727]",1,437.3657218138055,1000,400,0,0.363874898763113,0.6342776135319576,9.460747367840938,283.8224210352281,19.028328405958728,300
97,871958381ffffff,7,0.0,0.0,0.0,"[51.435870098598464, -2.4543334964146157]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
98,87195875dffffff,7,40.16765873015873,0.0,0.0,"[51.39865292346111, -2.7280550130390573]",1,437.3657218138055,1000,400,0,0.04310414111243812,0.07513569045591313,1.120707668923391,33.62123006770173,2.254070713677394,300
99,871958602ffffff,7,0.0,0.0,0.0,"[51.419551549781005, -2.969356033884525]",7,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
100,871958713ffffff,7,0.0,0.0,0.0,"[51.55207119304787, -2.9589464577636644]",7,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
101,8719582b3ffffff,7,0.0,0.0,0.0,"[51.35113985355713, -2.596769376024154]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
102,87195871effffff,7,0.0,0.0,0.0,"[51.53478996716381, -2.936875851286601]",6,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
103,871958390ffffff,7,783.6395590828924,17.0,8.0,"[51.46619070144553, -2.563679776820471]",0,437.3657218138055,1000,400,0,0.8409280302572494,1.4658384681020165,21.864128786688482,655.9238636006545,43.97515404306049,300
104,87195870affffff,7,0.0,0.0,0.0,"[51.5024946238937, -2.85983450360983]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
105,871958756ffffff,7,0.0,0.0,0.0,"[51.4678965457486, -2.81584061508964]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
106,871958601ffffff,7,0.0,0.0,0.0,"[51.40457077496382, -2.914424393082443]",6,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
107,871958654ffffff,7,157.2002314814815,0.0,0.0,"[51.333061536523, -2.8593994548202857]",4,437.3657218138055,1000,400,500000,0.16869245494754628,0.2940511920681669,4.386003828636204,131.5801148590861,8.821535762045006,300
108,87195871bffffff,7,0.0,0.0,0.0,"[51.49792648523712, -2.9257418972241793]",5,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
109,871958292ffffff,7,0.0,0.0,0.0,"[51.32710524696322, -2.6733439449884684]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
110,871958280ffffff,7,0.0,0.0,0.0,"[51.3164562201178, -2.55313616763503]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
111,871958749ffffff,7,0.0,0.0,0.0,"[51.36624660423422, -2.6514342022645683]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
112,8719582abffffff,7,0.0,0.0,0.0,"[51.28395811525032, -2.4768252872960503]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
113,87195839cffffff,7,1240.741512345679,0.0,0.0,"[51.43151627916393, -2.519990849673848]",1,437.3657218138055,1000,400,0,1.3314467141709032,2.3208713964055847,34.617614568443486,1038.5284370533045,69.62614189216754,300
114,8719582a6ffffff,7,0.0,0.0,0.0,"[51.37510501305163, -2.520176858612737]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
115,8719580c1ffffff,7,0.0,0.0,0.0,"[51.557214620498605, -2.607334785445777]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
116,8719582b0ffffff,7,0.0,0.0,0.0,"[51.370695356213496, -2.5857938467996546]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
117,871958281ffffff,7,0.0,0.0,0.0,"[51.299108624750765, -2.5313446709166336]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
118,871958644ffffff,7,0.0,0.0,0.0,"[51.32032249789132, -2.7717955202570006]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
119,871958764ffffff,7,157.1888888888889,0.0,0.0,"[51.49864300419831, -2.6403318929367896]",1,437.3657218138055,1000,400,0,0.1686802831474676,0.2940299751600137,4.385687361834158,131.57062085502474,8.820899254800413,300
120,871958742ffffff,7,0.0,4.0,2.0,"[51.4355367223883, -2.7390271557827486]",0,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
121,8719582a1ffffff,7,0.0,0.0,0.0,"[51.340406808071016, -2.4765974191008904]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
122,871958634ffffff,7,0.0,0.0,0.0,"[51.49562762540135, -2.95870409924965]",6,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
123,871958392ffffff,7,570.8139423076923,58.0,29.0,"[51.463991664771164, -2.596546483834155]",0,437.3657218138055,1000,400,0,0.612543660646677,1.0677371057464355,15.926135176813602,477.78405530440807,32.03211317239307,300
124,871958603ffffff,7,0.0,0.0,0.0,"[51.40226148215299, -2.947331073583131]",7,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
125,871958623ffffff,7,0.0,0.0,0.0,"[51.443758895179975, -2.8926078748526662]",4,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
126,8719583a3ffffff,7,0.0,0.0,0.0,"[51.47488901320136, -2.4322718924203155]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
127,871958619ffffff,7,36.8125,0.0,0.0,"[51.363036573729914, -2.969104067794097]",7,437.3657218138055,1000,400,500000,0.039503701357386976,0.06885969191008838,1.0270962352920614,30.81288705876184,2.0657907573026515,300
128,8719580cbffffff,7,414.9344198790627,3.0,1.0,"[51.50084954192738, -2.607435992872744]",0,437.3657218138055,1000,400,0,0.44526846603200293,0.7761563685097049,11.576980116832075,347.30940350496223,23.284691055291148,300
